Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
ÁR-002:008,,,útihús,þúst,419809,384005,2,ÁR-002_008,ÁR_002_008_NV,RGG,28/09/10,ÁE,,
ÁR-002:009,,,útihús,tóft,419601,383874,2,ÁR-002_009,ÁR_002_009_S,RGG,28/09/10,ÁE,,
ÁR-002:010,,,útihús,tóft,419595,383893,2,ÁR-002_010,ÁR_002_010_V,RGG,28/09/10,ÁE,,
ÁR-002:011,,,útihús,heimild,419593,383800,2,,,RGG,28/09/10,ÁE,,
ÁR-002:012,,,áveita,garðlag,420221,383912,2,ÁR-002-012,ÁR_002_012c_S; ÁR_002_012b_N; ÁR_002_012a_A,RGG,27/08/10,,,
ÁR-002:013,,,fjárskýli,tóft,420697,384331,2,ÁR-002_013,ÁR_002_013_V,RGG,27/08/10,,,
ÁR-002:014,,,beitarhús,tóftir,420940,383511,2,ÁR-002_014,ÁR_002_014a_V; ÁR_002_014b_N,RGG,24/09/10,,,
ÁR-002:015,,,beitarhús,tóft,419962,383525,2,ÁR-002_015,ÁR_002_015_S,RGG,26/09/10,,,
ÁR-002:016,,,stekkur,tóft,420552,383761,2,ÁR-002_016,ÁR_002_016_N.,RGG,27/09/10,,,
ÁR-002:017,,,beitarhús,tóft,419962,383397,2,ÁR-002_017,ÁR_002_017_NV,RGG,26/09/10,,,
ÁR-002:018,,,rétt,tóft,420323,383320,2,ÁR-002_018,ÁR_002_018_A,RGG,26/09/10,,,
ÁR-002:019,,,brú,hleðsla,419692,384084,2,,ÁR_002_019_N; ÁR_002_019_VNV,RGG,27/08/10,,,
ÁR-002:020,,,túngarður,garðlag,419682,383987,2,,ÁR_002_020_A; ÁR_002_020_S; ÁR_002_020_ANA,RGG,27/09/10,,,
ÁR-002:021,,,kvíar,þúst,419583,383719,2,002_021,ÁR002_021_ANA,RGG,25/09/10,,,
ÁR-002:022,,,fjárhús,tóft,419740,383473,2,002_022,ÁR002_022a_SV; Á,RGG,25/09/10,,,
ÁR-002:023,,,fjárhús,tóft+garðlag,419772,383764,2,ÁR-002_023,ÁR_002_023a_A; ÁR_002_023b_ASA,RGG,27/09/10,,,
ÁR-002:024,,,útihús,þúst,419752,383794,2,ÁR-002_024,ÁR_002_024_VNV; ÁR_002_024_ASA,RGG,27/09/10,,,
ÁR-002:025,,,nátthagi,tóft,419781,383440,2,,ÁR002_025_SA; ÁR002_025_S,RGG,27/09/10,,,
ÁR-003:001,,Þjótandi,bústaður,bæjarhóll,419639,382362,2,ÁR-003_001,ÁR_003_001_ANA; ÁR_003_001_A; ÁR_003_001_A(b),RGG,01/10/10,SG,14/06/06,
ÁR-003:002,,,býli,garðlag,419117,382110,2,,ÁR_003_002_NV; ÁR_003_002_N(b),RGG,03/10/10,,,
ÁR-003:007,,,túngarður,garðlag,419605,382186,2,,ÁR_003_007_V; ÁR_003_007_N(a); ÁR_003_007_N(b),RGG,01/10/10,,,
ÁR-003:010,,,kálgarður,gerði,419647,382369,2,,ÁR_003_010_A,RGG,03/10/10,ÁE,,
ÁR-003:011,,,útihús,þúst,419641,382288,2,,,RGG,03/10/10,ÁE,,
ÁR-003:012,,,útihús,þúst,419645,382280,2,,,RGG,03/10/10,ÁE,,
ÁR-003:013,,,útihús,heimild,419608,382259,2,,,RGG,03/10/10,ÁE,,
