Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
BO-145:013,,Grafarmýri,mógrafir,heimild,384294,443325,2,,,BL,26/11/03,OV,18/03/96,
BO-145:014,,Gömlugrafir,mógrafir,heimild,384822,442720,2,,Bo145_030S,BL,26/11/03,OV,18/03/96,
BO-145:015,,,óþekkt,hleðsla,385704,443123,2,,"Bo145_015SV, Bo145_015S, Bo145_015V",BL,26/11/03,,,
BO-145:016,,Stöðull,kvíar,örnefni,384707,443185,2,,,BL,26/11/03,OV,18/03/96,
BO-145:017,,Djúpagata,leið,gata,384954,443021,2,,,BL,26/11/03,OV,18/03/96,
BO-145:018,,Skothúshæð,skotbyrgi,örnefni,385148,442955,2,,,BL,26/11/03,OV,18/03/96,
BO-145:019,,Stöðulhóll,kvíar,örnefni,384835,443045,2,,,BL,26/11/03,OV,18/03/96,
BO-145:020,,Selslakki,sel,tóft,385610,442558,2,Bo145_020,Bo145_020SA,BL,26/11/03,OV,18/03/96,
BO-145:021,,,herslubyrgi,heimild,384859,443527,2,,Bo145_021SV,BL,26/11/03,OV,18/03/96,
BO-145:022,,,landamerki,varða,385765,443420,2,,"Bo145_022NV, Bo145_022skjöldur",BL,26/11/03,OV,18/03/96,
BO-145:023,,,,varða,386812,442699,2,,Bo145_023NA,BL,26/11/03,OV,18/03/96,
BO-145:024,,Kvíafoss,kvíar,örnefni,384571,443042,2,,,BL,26/11/03,OV,18/03/96,
BO-145:026,,,hænsnakofi,hús,384621,443261,2,Bo145_026,Bo145_026N,BL,26/11/03,,,
BO-145:027,,Álfhóll,huldufólksbústaður,heimild,383778,442890,2,,,BL,26/11/03,OV,18/03/96,
BO-145:028,,Torfmýri,rista,örnefni,384571,442820,2,,,BL,26/11/03,OV,18/03/96,
BO-145:029,,,rétt,tóft,384882,443119,2,Bo145_029,Bo145_029N,BL,26/11/03,OV,18/03/96,
BO-145:030,,,óþekkt,þúst,384770,443239,2,,,BL,26/11/03,,,
BO-145:031,,,legstaður,mannabein,379861,439037,2,,,BL,26/11/03,OV,18/03/96,
BO-146:001,,Svangi/Ytri-Svangi,bústaður,bæjarhóll,383355,447502,2,,,EH,22/09/10,OV,12/03/96,
BO-146:002,,,útihús,þúst,383298,447573,2,BO146_002,BO146_002og003a-b,SBG,22/09/10,OV,12/03/96,
BO-146:003,,,útihús,heimild,383337,447631,2,,BO146_003a-h,EH,22/09/10,OV,12/03/96,
BO-146:009,,,leið,heimild,383359,447495,2,,,EH,20/09/10,EH,18/08/10,
BO-146:014,,,lambhús,hús,383255,447504,2,BO146_014,"BO146_014_N, BO146_014_SSA, BO146_014_SSV",SGB,22/09/10,,,
BO-146:015,,,fjós,tóft,383346,447642,2,BO146_015,BO146_015a-d,EH,22/09/10,,,
BO-146:016,,,hlaða,tóft,383336,447666,2,BO146_016,BO146_016_A,SGB,22/09/10,,,
BO-146:017,,,skemma,hús,383310,447673,2,BO146_017,BO146_017a-i,EH,22/09/10,,,
BO-146:018,,,,tóft,383240,447635,2,BO146_018,BO146_018a-i,EH,22/09/10,,,
BO-146:019,,,útihús,tóft,383424,447633,2,BO146_019,BO146_019_NA,SGB,22/09/10,,,
BO-146:020,,,kálgarður,gerði,383286,447661,2,BO146_020,"BO146_020_S, BO146_020_V",SGB,22/09/10,,,
BO-146:021,,,óþekkt,þúst,383158,447487,2,BO146_021,BO146_021_NNA,SGB,22/09/10,,,
BO-146:022,,,óþekkt,þúst,383248,447469,2,BO146_022,BO146_022_NA,SGB,22/09/10,,,
BO-146:023,,,óþekkt,þúst,383281,447637,2,,BO146_023a-b,EH,22/09/10,,,
BO-148:001,,Litla Drageyri,bústaður,bæjarhóll,376567,449481,2,,BO148_001 SA; BO148_001 N,BL,02/09/14,OV,12/03/96,
BO-148:002,,,fjárhús,tóft,376503,449421,2,,BO148_002 SA; BO148_002 bálkur A; BO148_002 S.,BL,02/09/14,OV,12/03/96,
BO-148:003,,,útihús,heimild,376632,449399,2,,,BL,02/09/13,OV,12/03/96,
BO-148:004,,Kolbeinsbakki,bústaður,bæjarhóll,378026,448677,2,,BO148_004 N.,BL,02/09/14,OV,12/03/96,
BO-148:005,,Sellækur,sel,tóft,377402,448386,2,,BO148_005 N; BO148_005 S,BL,02/09/14,OV,12/03/96,
BO-148:006,,,útihús,tóft,376568,449413,2,,BO148_006 N; BO148_006 niður,BL,02/09/14,,,
BO-148:007,,,útihús,tóft,376550,449387,2,,BO148_007 A; BO148_007 niður,BL,02/09/14,,,
BO-148:008,,,fjárhús,tóft,376928,449262,2,,BO148_008 NNV; BO148_008 NV,BL,02/09/14,,,
BO-148:009,,,útihús,gerði,376374,449579,2,,BO148_009 N,BL,04/09/14,,,
BO-148:010,,,túngarður,garðlag,376686,449471,2,,BO148_010 A,BL,02/09/14,,,
BO-148:011,,,mógrafir,náma,376988,449172,2,,BO148_011 SA,BL,04/09/14,,,
BO-148:012,,,útihús,þúst,376669,449449,2,,,BL,02/09/14,,,
BO-148:013,,,óþekkt,þúst,376880,449253,2,,BO148_013 V,BL,03/09/13,,,
BO-148:014,,,leið,vegur,377881,449188,2,,,BL,04/09/14,,,
BO-149:001,,Grjóteyri,bústaður,bæjarhóll,364454,450594,2,,BO149_001a-c,BL,22/04/03,OV,06/03/96,
BO-149:002,,,kirkja,heimild,364454,450594,2,,,BL,22/04/03,OV,06/03/96,
BO-149:003,,,útihús,heimild,364527,450507,2,,,BL,22/04/03,OV,06/03/96,
BO-149:004,,,útihús,heimild,364542,450462,2,,,BL,22/04/03,OV,06/03/96,
BO-149:005,,Torfdalur,mógrafir,náma,364720,450022,2,,BO149_005,BL,22/04/03,,,
BO-149:006,,Gömluhús,beitarhús,tóftir,363795,450277,2,Bo149_006,Bo149_006,BL,22/04/03,OV,06/03/96,
BO-149:007,,Kolamannalágar,kolagröf,örnefni,362135,449263,2,,,BL,22/04/03,OV,06/03/96,
BO-149:008,,Virki,uppsátur,örnefni,364262,450759,2,,,BL,22/04/03,OV,06/03/96,
BO-149:009,,,kvíar,tóft,364258,450731,2,Bo149_009,Bo149_009,BL,22/04/03,OV,06/03/96,
BO-149:010,,Innri Stekkjardalur,stekkur,tóft,365190,450126,2,Bo149_010,Bo149_010,BL,22/04/03,OV,06/03/96,
BO-149:011,,Selhóll,sel,tóftir,365091,449251,2,BO149_011,,BL,22/04/03,OV,06/03/96,
BO-149:012,,Grafarmýri,mógrafir,náma,363487,450301,2,,,BL,22/04/03,OV,06/03/96,
BO-149:013,,,mógrafir,náma,365310,449457,2,,,BL,22/04/03,,,
BO-149:014,,,óþekkt,tóft,364353,450358,2,Bo149_014,Bo149_014,BL,22/04/03,,,
BO-149:015,,,heystæði,tóft,365081,450205,2,,Bo149_015,BL,22/04/03,,,
BO-149:016,,,útihús,heimild,364515,450519,2,,,BL,22/04/03,OV,06/03/96,
BO-149:017,,,útihús,heimild,364466,450584,2,,,BL,22/04/03,,,
BO-149:018,,Hólar,óþekkt,þúst,364326,450808,2,,,BL,22/04/03,,,
BO-150:001,,Grjóteyrartunga,bústaður,bæjarhóll,364612,450669,2,,Bo-150:001,BL,22/04/03,OV,06/03/96,
BO-150:002,,,útihús,tóft,364636,450586,2,,BO150_002,BL,22/04/03,OV,06/03/96,
BO-150:003,,,útihús,heimild,364618,450575,2,,,BL,22/04/03,OV,06/03/96,
BO-158:001,,Hestur,bústaður,bæjarstæði,376742,455179,2,,,EH,06/11/03,OV,07/03/96,
BO-158:006,,,útkirkja,heimild,374504,455394,2,,X,EH,06/11/03,OV,07/03/96,
BO-158:016,,,bústaður,bæjarhóll,374504,455374,2,,X,EH,06/11/03,,,
BO-160:001,,Vatnshamrar,bústaður,bæjarhóll,370112,454272,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:002,,,útihús,heimild,370093,454301,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:003,,,útihús,heimild,370093,454301,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:004,,,útihús,heimild,370145,454224,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:005,,,útihús,heimild,370208,454387,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:006,,Vatnshamraborg,vígi,heimild,370077,453327,2,,,MÁS,04/12/99,OV,07/03/96,
BO-160:007,,Vatnshamraborg,huldufólksbústaður,heimild,370077,453327,2,,,MÁS,04/12/99,OV,07/03/96,
BO-160:008,,Kastali,huldufólksbústaður,heimild,370316,454511,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:009,,Stekkjarholt,stekkur,heimild,369909,453803,2,T-BO-160:009,,EH/HM,26/09/97,OV,07/03/96,
BO-160:010,,Símonarbrú,brú,heimild,366045,455210,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:011,,Vatnshamrabrú,brú,heimild,370145,454775,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:012,,Helluvörðuholt,landamerki,varða,370211,455242,2,,,MÁS,02/12/99,OV,07/03/96,
BO-160:013,,Tíðamelur,leið,heimild,370219,454115,2,,,MÁS,02/12/99,,,
BO-161:001,,Ausa,bústaður,bæjarhóll,368368,453003,2,,,MÁS,26/11/99,OV,07/03/96,
BO-161:002,,,útihús,heimild,368368,453003,2,,,MÁS,26/11/99,OV,07/03/96,
BO-161:003,,,útihús,heimild,368368,453003,2,,,MÁS,26/11/99,OV,07/03/96,
BO-161:004,,hesthús,útihús,heimild,368599,453067,2,,,MÁS,26/11/99,OV,07/03/96,
BO-161:005,,,útihús,heimild,-1500479,1203875,2,,,MÁS,26/11/99,OV,07/03/96,
BO-161:006,,Stekkjarhóll,stekkur,tóft,367944,453298,2,,,MÁS,26/11/99,OV,07/03/96,
BO-161:007,,,,garðlag,368627,453070,2,,,MÁS,26/11/99,,,
BO-161:008,,Litlahamarsvað,vað,heimild,368997,453024,2,,,MÁS,29/11/99,,,
BO-161:009,,Skakkavað,vað,heimild,368470,452736,2,,,MÁS,08/12/99,,,
BO-162:001,,Ásgarður,bústaður,bæjarhóll,367229,454259,2,,,OV,25/11/99,OV,07/03/96,
BO-162:002,,,fjós,heimild,367229,454259,2,,,OV,25/11/99,OV,19/10/99,
BO-163:001,,Hvanneyri,bústaður,bæjarhóll,367408,454356,2,,,OV,25/11/99,OV,07/03/96,
BO-163:002,,,kirkja,hús,367462,454394,2,,,OV,25/11/99,OV,07/03/96,
BO-163:003,,Kirkjuhóll,legstaður,kirkjugarður,367465,454374,2,,,OV/EH,26/07/08,OV,07/03/96,
BO-163:004,,,fjós,heimild,367478,454421,2,,,OV,25/11/99,OV,07/03/96,
BO-163:005,,Stekkjarholt,rétt,tóft+garðlag,366701,453487,2,X,,MÁS,26/11/99,OV,07/03/96,
BO-163:006,,Tíðagata,leið,heimild,366701,453487,2,,,MÁS,26/11/99,OV,07/03/96,
BO-163:007,,,lending,heimild,365117,452218,2,,,MÁS,01/12/99,OV,07/03/96,
BO-163:008,,,rétt,heimild,366660,451506,2,,,MÁS,01/12/99,OV,07/03/96,
BO-163:009,,Kista,býli,þúst,366925,451662,2,,,MÁS,01/12/99,OV,07/03/96,
BO-163:010,,Selhóll,sel,þúst,366896,452611,2,,,MÁS,08/12/99,OV,07/03/96,
BO-163:011,,,smalakofi,heimild,366896,452611,2,,,MÁS,08/12/99,OV,07/03/96,
BO-163:012,,Brúarholt,brú,heimild,367689,453317,2,,,MÁS,08/12/99,OV,07/03/96,
BO-163:013,,Skálahóll,uppsátur,heimild,367743,456324,2,,,MÁS,06/12/99,OV,07/03/96,
BO-163:014,,Hvítárós,býli,tóft+garðlag,367717,456293,2,X,,MÁS,06/12/99,OV,07/03/96,
BO-163:015,,,vörslugarður,garðlag,367860,455850,2,,,MÁS,06/12/99,OV,07/03/96,
BO-163:017,,Mylluhóll,mylla,heimild,367429,454347,2,,,OV,25/11/99,OV,07/03/96,
BO-163:018,,Stekkjarlág,stekkur,örnefni,367697,454693,2,,,MÁS,29/11/99,OV,07/03/96,
BO-163:020,,Tungutún,býli,heimild,372240,565604,2,,,OV,25/11/99,OV,07/03/96,
BO-163:021,,,bænhús,heimild,366925,451662,2,,,MÁS,01/12/99,OV,03/05/96,
BO-163:022,,,lending,heimild,364481,452428,2,,,MÁS,01/12/99,OV,19/10/99,
BO-163:023,,Grásteinn,tröll,þjóðsaga,368486,454059,2,,,MÁS,29/11/99,OV,19/10/99,
BO-163:024,,,mógrafir,náma,367357,453525,2,,,EH,01/01/09,,,
BO-163:025,,,skóli,hús,367314,454317,2,,,OV,25/11/99,OV,19/10/99,
BO-163:026,,Amtmannshaugur,,heimild,367429,454372,2,,,OV,25/11/99,,,
BO-163:027,,,,garðlag,366961,451846,2,,,MÁS,01/12/99,,,
BO-163:028,,,mógrafir,náma,367158,453416,2,,,EH,01/01/09,,,
BO-163:029,,,mógrafir,náma,367456,453227,2,,,EH,01/01/09,,,
BO-163:030,,,kálgarður,heimild,367366,454315,2,,,EH,01/01/09,,,
BO-163:031,,,leið,heimild,367200,454274,2,,,EH,01/01/09,,,
BO-163:032,,,leið,heimild,367410,454149,2,,,EH,01/01/09,,,
BO-163:033,,,kálgarður,heimild,367432,454211,2,,,EH,01/01/09,,,
BO-163:034,,,leið,heimild,367436,454226,2,,,EH,01/01/09,,,
BO-163:035,,,leið,heimild,367446,454347,2,,,EH,01/01/09,,,
BO-163:036,,,leið,heimild,367660,454525,2,,,EH,01/01/09,,,
BO-163:037,,,leið,heimild,367480,454356,2,,,EH,01/01/09,,,
BO-163:038,,,,heimild,367540,454530,2,,,EH,01/01/09,,,
BO-163:039,,,,heimild,367515,454444,2,,,EH,01/01/09,,,
BO-163:040,,,leið,heimild,367338,454071,2,,,EH,01/01/09,,,
BO-163:041,,,,heimild,367314,454200,2,,,EH,01/01/09,,,
BO-163:042,,,,heimild,367607,454477,2,,,EH,01/01/09,,,
BO-163:043,,,útihús,heimild,367597,454150,2,,,EH,01/01/09,,,
BO-163:044,,,,hús,367394,454293,2,,,EH,01/01/09,,,
BO-163:045,,,,heimild,367412,454281,2,,,EH,01/01/09,,,
BO-163b:001,,Skógarkot,bústaður,þúst,363087,449420,2,,,BL,22/04/03,OV,06/03/96,
BO-164:001,,Svíri,býli,heimild,367558,454286,2,,,OV,25/11/99,OV,07/03/96,
BO-164:002,,,,heimild,367555,454320,2,,,EH,01/01/09,,,
BO-165:001,,Hamrakot,býli,bæjarstæði,367642,454628,2,,,MÁS,29/11/99,OV,07/03/96,
BO-165:002,,Fjósflatir,fjós,örnefni,367682,454580,2,,,MÁS,29/11/99,OV,19/10/99,
BO-165:003,,,útihús,heimild,367593,454582,2,,,EH,01/01/09,,,
BO-165:004,,,útihús,heimild,367625,454625,2,,,EH,01/01/09,,,
BO-165:005,,,óþekkt,heimild,367666,454607,2,,,EH,01/01/09,,,
BO-166:001,,Staðarhóll,bústaður,bæjarhóll,368203,454907,2,,,MÁS,29/12/99,OV,07/03/96,
BO-166:002,,,útihús,heimild,368199,454853,2,,,MÁS,29/11/99,OV,07/03/96,
BO-166:003,,Miðaftanshóll,eyktamark,örnefni,368104,454891,2,,,MÁS,29/11/99,OV,07/03/96,
BO-166:005,,,leið,heimild,368189,454883,2,,,EH,01/01/09,,,
BO-167:001,,Bárustaðir,bústaður,bæjarhóll,369130,455157,2,,,MÁS,04/12/99,OV,07/03/96,
BO-167:002,,,útihús,þúst,369105,455031,2,,,MÁS,04/12/99,OV,07/03/96,
BO-167:003,,,útihús,þúst,369094,455088,2,,,MÁS,04/12/99,OV,07/03/96,
BO-167:004,,Lambhúshæð,lambhús,tóft,368996,455071,2,,,MÁS,04/12/99,OV,07/03/96,
BO-167:006,,Hesthúsvöllur,hesthús,örnefni,369445,455532,2,,,MÁS,08/12/99,OV,07/03/96,
BO-167:007,,Fjárhúsás,fjárhús,tóft,369312,455441,2,,,MÁS,06/12/99,OV,07/03/96,
BO-167:008,,Eilífsbrú,brú,heimild,369641,455330,2,,,MÁS,04/12/99,OV,07/03/96,
BO-167:009,,,landamerki,garðlag,368634,455554,2,,,MÁS,06/12/99,OV,07/03/96,
BO-173:001,,Langholt,bústaður,bæjarhóll,712077,466835,2,X-BO-173:001,horft til norðurs,EH,23/05/00,OV,08/03/96,
BO-173:002,,,útihús,tóft,712051,466814,2,T-BO-173:002,Xhorft til norðurs,EH,23/05/00,OV,08/03/96,
BO-173:003,,,útihús,tóft,712092,466847,2,T-BO-173:003,Xhorft til norðurs,EH,23/05/00,OV,08/03/96,
BO-173:004,,,fjárhús,hús,712200,466884,2,T-BO-173:004,22 til austurs,EH,23/05/00,OV,08/03/96,
BO-173:022,,,útihús,tóft,711993,466836,2,T-BO-173:022,X,EH,23/05/00,,,
BO-174:002,,,kirkja,heimild,382484,571796,2,,,EH,23/05/00,OV,08/03/96,
BO-174:003,,,útihús,heimild,377989,460386,2,,,EH,23/05/00,OV,08/03/96,
BO-174:004,,,fjós,heimild,377986,460406,2,,,EH,23/05/00,OV,08/03/96,
BO-174:005,,Sauðhús,fjárhús,heimild,377995,460006,2,,,EH,23/05/00,OV,08/03/96,
BO-174:006,,Lambhús,fjárhús,heimild,377989,460401,2,,,EH,23/05/00,OV,08/03/96,
BO-174:007,,,útihús,heimild,377995,460450,2,,,EH,23/05/00,OV,08/03/96,
BO-174:008,,,útihús,heimild,378014,460463,2,,,EH,23/05/00,OV,08/03/96,
BO-174:009,,,fjárhús,heimild,378194,460560,2,,,EH,23/05/00,OV,08/03/96,
BO-174:010,,Gerði,kvíar,frásögn,377966,460493,2,,,EH,23/05/00,OV,08/03/96,
BO-174:011,,Blundsvatn,,álagablettur,377197,459334,2,,,OV,23/05/00,OV,23/03/96,
BO-174:012,,Grásteinn,,álagablettur,377903,460499,2,,,EH,23/05/00,OV,08/03/96,
BO-174:013,,Smiðjuhóll,smiðja,örnefni,377984,460365,2,,,EH,23/05/00,OV,08/03/96,
BO-174:014,,Orrustuhóll,,heimild,378112,460503,2,,,EH,23/05/00,OV,08/03/96,
BO-174:015,,Kálfanes,býli,tóft+garðlag,380375,461458,2,T-BO-174:015,17-20,OV,23/05/00,OV,08/03/96,
BO-174:016,,Réttarholt,rétt,tóft,377313,460056,2,T-BO-174:021,21 úr norðri,OV,23/05/00,OV,08/03/96,
BO-174:017,,Keldur,býli,tóft+garðlag,378649,460930,2,"GÓB, 43",X,EH,23/05/00,OV,08/03/96,
BO-174:018,,,,heimild,377197,459334,2,,,OV,23/05/00,OV,23/03/96,
BO-174:019,,Kirkjurúst,bænhús,þúst,376425,460871,2,,23 úr S,OV,23/05/00,OV,08/03/96,
BO-174:020,,,kálgarður,hleðsla,377931,460366,2,,,EH,23/05/00,OV,08/03/96,
BO-174:023,,,áveita,heimild,377922,460333,2,,,EH,01/01/09,,,
BO-174:024,,,kálgarður,heimild,378042,460175,2,,,EH,01/01/09,,,
BO-175:001,,Varmalækur,bústaður,bæjarhóll,379209,458682,2,,X,EH,30/10/03,OV,09/03/96,
BO-175:008,,,útkirkja,mannabein,379239,458677,2,,X,EH,30/10/03,OV,09/03/96,
BO-175:009,,Þórdísarholt,legstaður,heimild,378176,459575,2,,,OV,23/05/00,OV,09/03/96,
BO-175:010,,Þórdísarholt,býli,heimild,378176,459575,2,,,OV,23/05/00,OV,09/03/96,
BO-176:002,,,fjós,heimild,378117,345904,2,,,JOJ,31/07/08,EH,25/07/08,
BO-176:003,,,útihús,heimild,382459,457287,2,,,JOJ,31/07/08,EH,25/07/08,
BO-176:004,,,hesthús,heimild,382297,457355,2,,,EKD,31/07/08,OV,09/03/96,
BO-176:005,,,útihús,heimild,382382,457460,2,,,JOJ,31/07/08,EH,25/07/08,
BO-176:006,,,smalakofi,heimild,381072,456828,2,,,EKD,31/07/08,OV/EH,25/07/08,
BO-176:007,,,landamerki,heimild,381441,458236,2,,,JOJ,31/07/08,EH,25/07/08,
BO-176:008,,,stekkur,tóft,383316,456808,2,BO176_008,BO176_008_N,JOJ,31/07/08,EH,25/07/08,
BO-176:009,,Myllulækur,mylla,heimild,383074,457647,2,,,EKD,31/07/08,OV,09/03/96,
BO-176:010,,,þvottalaug,heimild,383021,457777,2,,,EKD,31/07/08,OV,09/03/96,
BO-176:011,,Réttarholt,rétt,heimild,382387,457517,2,,,JOJ,31/07/08,OV,09/03/96,
BO-176:012,,Mómelur,mógrafir,heimild,383806,457256,2,,,JOJ,31/07/08,OV,09/03/96,
BO-176:013,,,mógrafir,heimild,383199,456885,2,,,JOJ,31/07/08,OV,09/03/96,
BO-176:014,,,rista,heimild,383163,457625,2,,,EKD,31/07/08,OV,09/03/96,
BO-176:015,,,leið,heimild,382291,457363,2,,,EKD,31/07/08,EH,25/07/08,
BO-176:016,,,leið,heimild,382438,457303,2,,,EKD,31/07/08,EH,25/07/08,
BO-176:017,,,landamerki,heimild,384018,457673,2,,,EKD,31/07/08,EH,25/07/08,
BO-176:018,,,landamerki,varða,383639,456571,2,,BO176_018_N,JOJ,31/07/08,EH,25/07/08,
BO-176:019,,,landamerki,heimild,381432,455898,2,,,JOJ,31/07/08,EH,25/07/08,
BO-178:001,,Lundur,bústaður,bæjarhóll,393665,452069,2,,X,EH,05/11/03,OV,12/03/96,
BO-178:002,,,kirkja,þúst,385717,452343,2,,X,EH,05/11/03,OV,12/03/96,
BO-179:001,,Gullberastaðir,bústaður,bæjarhóll,387404,451579,2,,,EH,05/10/03,OV,12/03/96,
BO-179:010,,Bænhús,bænhús,heimild,387500,451531,2,,,EH,05/10/03,OV,12/03/96,
BO-180:001,,Oddstaðir,bústaður,bæjarstæði,388492,451050,2,,X,EH,05/11/03,OV,12/03/96,
BO-180:027,,Bænhúsvöllur,bænhús,mannabein,388519,451056,2,,X,EH,05/11/03,OV,12/03/96,
BO-182:001,,Tungufell,bústaður,bæjarstæði,390679,448806,2,,BO182_001,BL,26/03/03,OV,13/03/96,
BO-182:002,,,útihús,heimild,390689,448815,2,,,BL,26/03/03,OV,13/03/96,
BO-182:003,,,útihús,heimild,390693,448817,2,,,BL,26/03/03,OV,13/03/96,
BO-182:004,,,útihús,heimild,390609,448846,2,,,EH,26/03/03,OV,13/03/96,
BO-182:005,,,útihús,heimild,390844,448653,2,,,BL,26/03/03,OV,13/03/96,
BO-182:006,,,heygarður,heimild,390686,448780,2,,,BL,26/03/03,OV,13/03/96,
BO-182:007,,Skógarnef,kolagröf,heimild,390489,449681,2,,,EH,05/04/03,OV,13/03/96,
BO-182:008,,Tvívörður,,varða,391199,449410,2,,BO182_008a-c,EH,05/04/03,OV,13/03/96,
BO-182:009,,Húsasund,mógrafir,náma,390407,449151,2,,,EH,26/03/03,OV,13/03/96,
BO-182:010,,,leið,heimild,390910,448959,2,,,BL,26/03/03,OV,13/03/96,
BO-182:011,,Litlavarða,samgöngubót,varða,390877,449018,2,,BO-182:011,BL,26/03/03,OV,13/03/96,
BO-182:012,,Strákavað,vað,heimild,390362,449799,2,,,EH,05/04/03,OV,13/03/96,
BO-182:013,,Fjóstunga,fjós,örnefni,390631,448769,2,,,BL,26/03/03,OV,13/03/96,
BO-182:014,,Grafarsund,mógrafir,heimild,390783,448832,2,,,EH,26/03/03,OV,13/03/96,
BO-182:015,,Byrgi,fjárskýli,tóft,390558,447358,2,BO-182:015,BO-182:015,EH,26/03/03,OV,13/03/96,
BO-182:016,,,stekkur,tóft+garðlag,389877,448361,2,BO-182:016,BO-182:016,EH,26/03/03,OV,13/03/96,
BO-182:017,,Langagerði,óþekkt,garðlag,389924,448885,2,,,EH,26/03/03,OV,13/03/96,
BO-182:018,,Sauðagerði,fjárhús,örnefni,389718,449027,2,,,EH,26/03/03,OV,13/03/96,
BO-182:019,,Kúagerði,,örnefni,390683,448843,2,,,EH,26/03/03,OV,13/03/96,
BO-182:020,,,refagildra,hleðsla,391136,448801,2,,BO-182:020a-c,EH,26/03/03,OV,13/03/96,
BO-182:021,,,útihús,frásögn,390519,448949,2,,,EH,26/03/03,,,
BO-182:022,,,útihús,frásögn,390421,449027,2,,,EH,26/03/03,,,
BO-182:023,,Grænhóll,óþekkt,frásögn,390706,448563,2,,,BL,26/03/03,,,
BO-187:001,,England,bústaður,bæjarstæði,394456,445073,2,,,EH,11/11/03,OV,13/03/96,
BO-187:033,,,bænhús,heimild,394456,445073,2,,,EH,11/11/03,OV,14/03/96,
BO-197:001,,Skálpastaðir,bústaður,bæjarhóll,379468,454910,2,,,EH,30/10/03,OV,14/03/96,
BO-197:006,,,bænhús,heimild,379478,454907,2,,,EH,30/10/03,OV,14/03/96,
BO-199:001,,Reykholt,bústaður,bæjarhóll,390523,464585,2,,,OV,22/05/00,OV,19/03/96,
BO-199:002,,,kirkja,tóft,390532,464617,2,,"1 úr SA, 2 úr A, 3 úr NA",OV,22/05/00,OV,19/03/96,
BO-199:003,,,fjós,heimild,390556,464601,2,,,OV,22/05/00,OV,19/03/96,
BO-199:004,,,útihús,heimild,390451,464789,2,,,OV,22/05/00,OV,19/03/96,
BO-199:005,,,útihús,þúst,390472,464806,2,,,OV,22/05/00,OV,19/03/96,
BO-199:006,,,rétt,heimild,390457,464850,2,,,OV,22/05/00,OV,19/03/96,
BO-199:007,,,fjárhús,heimild,390694,464834,2,,,OV,22/05/00,OV,19/03/96,
BO-199:008,,,túngarður,heimild,390694,464834,2,,,OV,22/05/00,OV,19/03/96,
BO-199:009,,Snorralaug,bað,laug,390572,464556,2,,4 úr VNV,OV,22/05/00,OV,19/03/96,
BO-199:010,,Skrifla,,hver,390669,464621,2,,,OV,22/05/00,OV,19/03/96,
BO-199:011,,,,mannvirki,390628,464596,2,,,OV,22/05/00,OV,19/03/96,
BO-199:012,,,fjós,heimild,390528,464637,2,,,OV,22/05/00,OV,19/03/96,
BO-199:013,,Lögrétta,,heimild,390509,464586,2,,,OV,22/05/00,OV,19/03/96,
BO-199:014,,Sturlungareitur,legstaður,heimild,390519,464621,2,,,OV,22/05/00,OV,19/03/96,
BO-199:015,,Virki,vígi,heimild,390557,464610,2,,,OV,22/05/00,OV,19/03/96,
BO-199:016,,Stöðull,kvíar,örnefni,390676,464582,2,,,OV,22/05/00,OV,19/03/96,
BO-199:017,,Svínatóft,útihús,heimild,390746,464534,2,,,OV,22/05/00,OV,19/03/96,
BO-199:018,,Reykholtsgrafir,mógrafir,náma,385973,352712,2,,,OV,22/05/00,OV,19/03/96,
BO-199:019,,Stekkjareyri,stekkur,heimild,390000,464013,2,,,OV,22/05/00,OV,19/03/96,
BO-199:020,,Kirkjumelur,landamerki,varða,391399,466662,2,,,OV,23/05/00,,,
BO-199:021,,Tíðagata,leið,gata,389800,464546,2,,,OV,22/05/00,OV,19/03/96,
BO-199:022,,Úlfsstaðavað,vað,heimild,390509,463877,2,,,OV,22/05/00,OV,19/03/96,
BO-199:023,,Kirkjuvað,vað,heimild,390183,464146,2,,,OV,22/05/00,OV,19/03/96,
BO-199:024,,Stekkjarvað,vað,heimild,389987,463896,2,,,OV,22/05/00,OV,19/03/96,
BO-199:025,,Grjótagata,leið,gata,389923,464867,2,,,OV,22/05/00,OV,19/03/96,
BO-199:026,,Smiðjuvöllur,smiðja,örnefni,390481,464559,2,,,OV,22/05/00,OV,19/03/96,
BO-199:027,,,göng,mannvirki,390560,464571,2,,,OV,22/05/00,OV,19/03/96,
BO-199:028,,Háfur,býli,bæjarstæði,388931,412436,2,,,OV,23/05/00,OV,19/03/96,
BO-199:029,,Eggertsflöt,sögustaður,heimild,390063,464760,2,,,OV,22/05/00,OV,19/03/96,
BO-199:030,,Vesturmýri,rista,heimild,390135,464419,2,,,OV,22/05/00,OV,19/03/96,
BO-199:031,,,leið,heimild,390520,464615,2,,,EH,01/01/09,,,
